user_id,age,gender,current_role,years_of_experience,current_industry,previous_roles,key_skills,certifications,desired_role,preferred_industry,short_term_goal,long_term_goal,learning_style,time_available_per_week,motivation_level,recommended_skills
27,32,Male,Entrepreneur,2.6,IT,"Marketing Specialist, HR Manager, Data Analyst","Java, Cloud Computing, Leadership, Data Analysis","Google Analytics, AWS Certified, Scrum Master",Creative Director,Healthcare,Role Switch,Expertise,Hands-on,11,1,"SEO, Cloud Computing"
28,36,Female,Software Engineer,9.1,IT,"Content Writer, Entrepreneur","Project Management, Data Analysis, Cloud Computing, SEO, Java",None,Data Scientist,Finance,Upskilling,Entrepreneurship,Collaborative,12,8,"Cloud Computing, SEO"
29,27,Female,Software Engineer,9.8,Education,"Content Writer, Data Analyst","Data Analysis, Python, Cloud Computing, SEO",None,Project Manager,Marketing,Upskilling,Entrepreneurship,Reading,18,7,"Leadership, SEO"
30,24,Male,Entrepreneur,13.5,IT,HR Manager,"Leadership, SEO, Data Analysis, Python, Cloud Computing","Google Analytics, AWS Certified, Scrum Master",Creative Director,Healthcare,Upskilling,Expertise,Reading,27,6,"Project Management, Data Analysis"
31,32,Male,Data Analyst,18.8,Healthcare,"Software Engineer, Marketing Specialist, Entrepreneur","Python, Cloud Computing, SEO",None,Project Manager,Education,Upskilling,Leadership,Reading,17,9,"Data Analysis, Project Management"
32,28,Male,Software Engineer,3.5,Education,HR Manager,"SEO, Python, Leadership","PMP, Scrum Master",Project Manager,Healthcare,Promotion,Expertise,Hands-on,28,8,"Python, SEO"
33,23,Female,HR Manager,15.3,Finance,"Content Writer, Marketing Specialist, Entrepreneur","SEO, Project Management, Python, Data Analysis, Cloud Computing",None,Team Lead,Healthcare,Promotion,Expertise,Hands-on,6,4,"Data Analysis, SEO, Leadership"
34,43,Female,Software Engineer,12.1,Finance,"HR Manager, Marketing Specialist, Software Engineer","Python, Leadership, Cloud Computing",None,Creative Director,Healthcare,Upskilling,Expertise,Hands-on,11,5,"Project Management, Cloud Computing"
35,40,Female,HR Manager,14.6,Education,"Software Engineer, Entrepreneur","Python, Java, Cloud Computing","AWS Certified, PMP",Team Lead,IT,Promotion,Expertise,Reading,6,4,"Data Analysis, Project Management"
36,55,Female,Content Writer,17.6,IT,"Content Writer, Marketing Specialist","Python, Leadership, Project Management, SEO, Cloud Computing","Scrum Master, Google Analytics",Creative Director,Healthcare,Role Switch,Expertise,Reading,12,6,"Cloud Computing, Project Management, Java"
37,43,Female,Content Writer,2.4,Healthcare,HR Manager,"SEO, Data Analysis",PMP,Data Scientist,Healthcare,Promotion,Entrepreneurship,Reading,28,10,"SEO, Cloud Computing, Data Analysis"
38,45,Female,HR Manager,9.8,IT,Software Engineer,"Leadership, Java, Cloud Computing",None,Data Scientist,Healthcare,Upskilling,Entrepreneurship,Hands-on,15,1,"Java, Python"
39,55,Female,Marketing Specialist,17.7,Education,"Data Analyst, Entrepreneur, HR Manager","Leadership, Python, Java",,Data Scientist,Healthcare,Promotion,Leadership,Collaborative,5,4,"Project Management, Java"
40,53,Female,Data Analyst,1.9,IT,Content Writer,"SEO, Leadership",,Data Scientist,Healthcare,Promotion,Expertise,Collaborative,23,8,Cloud Computing
41,24,Female,Entrepreneur,19.3,Marketing,Content Writer,"Java, Project Management, Leadership","PMP, Scrum Master",Project Manager,Marketing,Upskilling,Leadership,Hands-on,20,6,"Leadership, Data Analysis"
42,37,Male,Content Writer,18.5,IT,"HR Manager, Data Analyst","Cloud Computing, SEO",,Data Scientist,Healthcare,Promotion,Expertise,Collaborative,9,6,"SEO, Python"
43,53,Female,Data Analyst,17.0,Marketing,Content Writer,"Python, Cloud Computing, Data Analysis, Project Management","AWS Certified, PMP, Scrum Master",Data Scientist,Healthcare,Upskilling,Entrepreneurship,Hands-on,9,10,"Cloud Computing, Data Analysis, Project Management"
44,44,Male,Marketing Specialist,11.1,Marketing,Marketing Specialist,"Data Analysis, Cloud Computing, Python",AWS Certified,Creative Director,Education,Role Switch,Expertise,Hands-on,13,10,"Project Management, SEO"
45,32,Male,Marketing Specialist,10.3,Marketing,Entrepreneur,"SEO, Data Analysis, Python",None,Creative Director,Healthcare,Promotion,Leadership,Reading,18,4,Python
46,51,Female,Content Writer,4.6,Marketing,"HR Manager, Software Engineer, Data Analyst","Project Management, Java",PMP,Data Scientist,Healthcare,Role Switch,Leadership,Reading,24,7,Python
47,42,Female,Content Writer,12.4,Healthcare,"Marketing Specialist, Entrepreneur","Python, Project Management, Leadership",None,Project Manager,Education,Promotion,Expertise,Collaborative,22,4,SEO
48,25,Male,Entrepreneur,12.3,Finance,"Content Writer, Entrepreneur, Software Engineer","Cloud Computing, Leadership, Project Management, Python, Data Analysis",,Business Consultant,Healthcare,Promotion,Entrepreneurship,Hands-on,11,10,"Project Management, Python, SEO"
49,44,Female,Marketing Specialist,14.5,Finance,HR Manager,"SEO, Leadership, Cloud Computing","AWS Certified, Google Analytics",Business Consultant,Marketing,Role Switch,Leadership,Hands-on,7,1,"Data Analysis, Cloud Computing, Project Management"
50,34,Male,Data Analyst,17.1,Marketing,"HR Manager, Entrepreneur, Marketing Specialist","Cloud Computing, SEO, Python, Project Management","PMP, Google Analytics",Creative Director,Finance,Upskilling,Entrepreneurship,Reading,24,3,Cloud Computing
51,24,Female,Software Engineer,8.8,Finance,"HR Manager, Content Writer, Software Engineer","Python, Cloud Computing, Leadership",Scrum Master,Business Consultant,Healthcare,Role Switch,Entrepreneurship,Reading,19,2,"Leadership, Data Analysis"
52,26,Male,Data Analyst,5.7,Healthcare,HR Manager,"Java, Leadership, SEO",AWS Certified,Project Manager,Education,Promotion,Leadership,Reading,28,7,"SEO, Cloud Computing"
53,52,Male,Entrepreneur,16.9,Marketing,HR Manager,"SEO, Data Analysis","AWS Certified, Google Analytics, PMP",Business Consultant,Marketing,Upskilling,Leadership,Hands-on,18,9,Data Analysis
54,33,Female,Software Engineer,4.2,Healthcare,Software Engineer,"Data Analysis, SEO, Python",AWS Certified,Team Lead,Finance,Role Switch,Leadership,Reading,19,1,"Java, Project Management"
55,38,Female,Data Analyst,5.7,Marketing,"Content Writer, HR Manager, Data Analyst","Java, Cloud Computing, SEO, Data Analysis, Project Management","Scrum Master, Google Analytics, AWS Certified",Data Scientist,Finance,Upskilling,Expertise,Reading,15,1,"Python, SEO, Project Management"
56,45,Male,HR Manager,16.8,IT,"HR Manager, Marketing Specialist","Project Management, Python, Java",AWS Certified,Creative Director,Marketing,Role Switch,Leadership,Hands-on,29,4,"Project Management, Python"
57,39,Female,Entrepreneur,3.4,Finance,Content Writer,"SEO, Python, Cloud Computing, Leadership, Java",,Business Consultant,Finance,Promotion,Expertise,Collaborative,5,6,Data Analysis
58,23,Female,Software Engineer,15.5,Marketing,"Data Analyst, Software Engineer, Marketing Specialist","Cloud Computing, SEO, Leadership, Python, Data Analysis","Google Analytics, Scrum Master, AWS Certified",Business Consultant,IT,Promotion,Expertise,Collaborative,26,6,"Cloud Computing, Project Management, Java"
59,44,Female,Marketing Specialist,15.7,Education,"Marketing Specialist, Entrepreneur","Data Analysis, Project Management, Java, Leadership",,Data Scientist,IT,Role Switch,Leadership,Hands-on,29,9,Leadership
60,40,Male,Data Analyst,2.1,Healthcare,"HR Manager, Content Writer","Python, SEO, Leadership, Cloud Computing",,Project Manager,Healthcare,Promotion,Entrepreneurship,Collaborative,27,6,Leadership
61,48,Male,Software Engineer,5.7,IT,"Software Engineer, Entrepreneur, Content Writer","Leadership, Data Analysis, Cloud Computing",Google Analytics,Team Lead,Education,Role Switch,Entrepreneurship,Collaborative,11,10,Java
62,39,Female,Marketing Specialist,11.0,Marketing,"Marketing Specialist, Entrepreneur, Content Writer","SEO, Leadership, Cloud Computing",None,Creative Director,Marketing,Promotion,Entrepreneurship,Reading,21,3,"Data Analysis, Project Management"
63,29,Female,Software Engineer,11.6,Marketing,"Data Analyst, Software Engineer, Content Writer","Leadership, Project Management, SEO, Data Analysis","AWS Certified, PMP, Google Analytics",Team Lead,Education,Upskilling,Leadership,Reading,10,5,"Java, Project Management, SEO"
64,39,Male,Marketing Specialist,12.7,Marketing,"Software Engineer, Marketing Specialist","Leadership, Data Analysis","Scrum Master, PMP, AWS Certified",Data Scientist,IT,Role Switch,Leadership,Reading,14,10,"Java, Cloud Computing, SEO"
65,55,Male,Marketing Specialist,4.7,Healthcare,Software Engineer,"SEO, Data Analysis, Project Management, Python, Cloud Computing","Google Analytics, Scrum Master, AWS Certified",Project Manager,Marketing,Upskilling,Entrepreneurship,Collaborative,18,10,"Cloud Computing, Java, Data Analysis"
66,47,Female,Marketing Specialist,8.0,IT,"HR Manager, Marketing Specialist, Content Writer","Cloud Computing, SEO, Project Management, Java",None,Business Consultant,Marketing,Promotion,Entrepreneurship,Hands-on,23,3,"SEO, Project Management, Data Analysis"
67,35,Female,HR Manager,1.6,Finance,"Content Writer, Marketing Specialist","Java, Cloud Computing",Scrum Master,Business Consultant,Healthcare,Upskilling,Entrepreneurship,Reading,11,8,"SEO, Java, Cloud Computing"
68,39,Female,Data Analyst,12.6,IT,"Entrepreneur, Content Writer, HR Manager","Data Analysis, Project Management, SEO, Python, Java","Google Analytics, AWS Certified",Project Manager,Healthcare,Role Switch,Entrepreneurship,Reading,11,8,Leadership
69,38,Male,Data Analyst,4.5,Finance,"Marketing Specialist, Data Analyst","Project Management, Python, Data Analysis, Java, SEO","Scrum Master, AWS Certified",Team Lead,Education,Upskilling,Entrepreneurship,Collaborative,17,4,Python
70,47,Female,Data Analyst,2.8,Finance,"Content Writer, Software Engineer","Data Analysis, Project Management, Leadership, Python, SEO","Google Analytics, AWS Certified, PMP",Creative Director,IT,Promotion,Leadership,Hands-on,10,7,"Project Management, Java, Leadership"
71,43,Male,Data Analyst,17.1,Healthcare,Software Engineer,"Cloud Computing, Data Analysis","Scrum Master, PMP",Project Manager,Marketing,Upskilling,Entrepreneurship,Collaborative,12,5,"Cloud Computing, Python, Data Analysis"
72,53,Female,HR Manager,18.2,Marketing,"Entrepreneur, Data Analyst","Cloud Computing, Leadership, SEO, Java, Project Management","Google Analytics, AWS Certified",Project Manager,IT,Role Switch,Entrepreneurship,Hands-on,21,7,"Leadership, Cloud Computing, Python"
73,32,Male,Software Engineer,13.4,Finance,"Software Engineer, Marketing Specialist","Leadership, Java","Scrum Master, PMP",Team Lead,IT,Upskilling,Entrepreneurship,Collaborative,13,7,"SEO, Cloud Computing"
74,51,Male,Marketing Specialist,17.2,Marketing,"Entrepreneur, Marketing Specialist, Content Writer","SEO, Leadership, Cloud Computing",,Team Lead,Healthcare,Promotion,Leadership,Collaborative,19,4,"Leadership, Python, Cloud Computing"
75,38,Female,Content Writer,1.8,Education,"Data Analyst, Marketing Specialist, Entrepreneur","Java, Project Management, Python, Leadership",AWS Certified,Business Consultant,Marketing,Upskilling,Entrepreneurship,Reading,26,4,"SEO, Python"
76,39,Male,Content Writer,12.4,Healthcare,"Entrepreneur, Data Analyst, HR Manager","Java, Leadership, Project Management, SEO, Cloud Computing",,Project Manager,Finance,Role Switch,Expertise,Collaborative,15,5,"Java, Leadership"
77,52,Female,Data Analyst,12.2,Finance,"Data Analyst, Software Engineer","Cloud Computing, Data Analysis, SEO, Python",Google Analytics,Business Consultant,IT,Promotion,Leadership,Collaborative,19,4,"Project Management, Java"
78,48,Male,Marketing Specialist,12.2,Education,Software Engineer,"Cloud Computing, Java","AWS Certified, Google Analytics",Business Consultant,Healthcare,Role Switch,Leadership,Reading,21,2,"Java, Leadership, Project Management"
79,49,Female,Entrepreneur,8.4,Education,"HR Manager, Software Engineer, Marketing Specialist","Java, Python, SEO","AWS Certified, PMP, Scrum Master",Team Lead,IT,Upskilling,Entrepreneurship,Reading,11,6,"Java, Cloud Computing"
80,44,Female,Marketing Specialist,13.9,Marketing,"Data Analyst, Entrepreneur","Data Analysis, Python",None,Creative Director,IT,Promotion,Expertise,Collaborative,27,10,Leadership
81,41,Female,Content Writer,19.3,Finance,"HR Manager, Data Analyst","SEO, Python, Java, Project Management","AWS Certified, Scrum Master",Creative Director,Finance,Promotion,Expertise,Hands-on,11,9,Leadership
82,31,Female,Software Engineer,13.5,Education,"Entrepreneur, Software Engineer, Data Analyst","Python, Leadership, Cloud Computing, Data Analysis",None,Project Manager,IT,Promotion,Expertise,Collaborative,25,10,"Java, Data Analysis"
83,38,Female,Data Analyst,10.1,Finance,"Content Writer, HR Manager","Data Analysis, Leadership, Java, Project Management, SEO","Scrum Master, PMP",Project Manager,Healthcare,Role Switch,Expertise,Collaborative,18,8,Data Analysis
84,40,Female,Data Analyst,17.6,Marketing,"Entrepreneur, Data Analyst","SEO, Data Analysis, Leadership","PMP, Scrum Master",Creative Director,IT,Role Switch,Leadership,Reading,26,1,Data Analysis
85,45,Female,Content Writer,15.3,Marketing,HR Manager,"SEO, Project Management, Python, Data Analysis, Java",None,Data Scientist,IT,Role Switch,Expertise,Hands-on,20,10,"Python, Data Analysis, SEO"
86,44,Male,Marketing Specialist,5.2,Finance,"Marketing Specialist, HR Manager","Data Analysis, Java, SEO, Project Management","Scrum Master, AWS Certified",Project Manager,Education,Upskilling,Leadership,Reading,19,8,"Python, Data Analysis, Cloud Computing"
87,51,Female,Entrepreneur,4.7,Healthcare,Software Engineer,"Project Management, Java, Leadership, Python",None,Data Scientist,Marketing,Role Switch,Leadership,Hands-on,19,1,"Python, SEO"
88,36,Female,Content Writer,3.5,Marketing,"Marketing Specialist, Software Engineer, Content Writer","Cloud Computing, Java, Python, Project Management, Data Analysis",Scrum Master,Team Lead,Education,Promotion,Leadership,Collaborative,18,6,"SEO, Project Management, Python"
89,55,Female,Marketing Specialist,18.6,Finance,"Marketing Specialist, Entrepreneur","Python, Cloud Computing, Leadership, SEO, Project Management","Google Analytics, AWS Certified, Scrum Master",Project Manager,IT,Role Switch,Leadership,Hands-on,6,8,"Cloud Computing, Data Analysis, Leadership"
90,32,Female,Data Analyst,13.3,IT,Marketing Specialist,"Cloud Computing, Java, Python",,Project Manager,Marketing,Role Switch,Entrepreneurship,Reading,16,2,Leadership
91,26,Male,Entrepreneur,8.6,Finance,HR Manager,"Cloud Computing, Leadership, Java",,Team Lead,Marketing,Upskilling,Leadership,Reading,13,4,Cloud Computing
92,54,Female,Data Analyst,17.9,Healthcare,"Data Analyst, Entrepreneur, HR Manager","Java, Data Analysis",,Creative Director,Marketing,Promotion,Expertise,Reading,14,5,"SEO, Data Analysis, Cloud Computing"
93,38,Male,Entrepreneur,9.1,Marketing,"Entrepreneur, HR Manager","Python, Leadership, SEO, Java",AWS Certified,Business Consultant,IT,Promotion,Entrepreneurship,Hands-on,16,10,Java
94,55,Female,Content Writer,4.5,Education,"Data Analyst, Software Engineer","Project Management, Leadership, SEO, Java",Google Analytics,Project Manager,IT,Upskilling,Entrepreneurship,Hands-on,30,5,"Java, Cloud Computing"
95,38,Male,Marketing Specialist,11.2,Education,Software Engineer,"Java, Project Management","PMP, AWS Certified",Data Scientist,Marketing,Promotion,Expertise,Collaborative,27,9,Data Analysis
96,24,Female,HR Manager,9.8,IT,"Content Writer, Data Analyst, Software Engineer","Cloud Computing, Java, Data Analysis",Google Analytics,Project Manager,Marketing,Upskilling,Leadership,Reading,9,6,"Cloud Computing, Python"
97,23,Female,Entrepreneur,12.6,Healthcare,"Data Analyst, Marketing Specialist","Leadership, Java, Data Analysis, Project Management, Python","AWS Certified, Google Analytics, Scrum Master",Data Scientist,Marketing,Role Switch,Leadership,Reading,12,2,Leadership
98,55,Female,Content Writer,13.6,Finance,"Entrepreneur, Content Writer, Software Engineer","Java, Leadership, Cloud Computing",Scrum Master,Data Scientist,Healthcare,Promotion,Leadership,Reading,28,7,"Leadership, Project Management, Python"
99,44,Male,Data Analyst,11.6,Education,Content Writer,"Leadership, Project Management",Scrum Master,Team Lead,Healthcare,Role Switch,Expertise,Reading,22,6,Python
100,39,Male,Entrepreneur,17.9,Healthcare,Content Writer,"Cloud Computing, SEO","Google Analytics, AWS Certified",Business Consultant,Education,Upskilling,Expertise,Collaborative,8,6,Project Management
101,27,Male,Software Engineer,18.4,Marketing,Data Analyst,"Project Management, Java","PMP, Scrum Master",Data Scientist,IT,Promotion,Entrepreneurship,Collaborative,5,5,"Cloud Computing, SEO"
102,46,Male,Entrepreneur,18.2,Marketing,"HR Manager, Entrepreneur","SEO, Leadership, Cloud Computing, Project Management",,Creative Director,Marketing,Upskilling,Expertise,Collaborative,21,3,Cloud Computing
103,24,Male,Entrepreneur,13.0,Healthcare,"Content Writer, Data Analyst","Project Management, Python, Java, Leadership",,Team Lead,IT,Promotion,Leadership,Hands-on,10,2,"SEO, Project Management"
104,43,Male,Entrepreneur,18.8,Marketing,"Entrepreneur, Marketing Specialist","Java, Project Management, Python, Data Analysis, SEO",None,Data Scientist,Education,Role Switch,Entrepreneurship,Hands-on,5,8,"Project Management, Cloud Computing"
105,44,Female,Marketing Specialist,5.2,Education,"Content Writer, Entrepreneur, HR Manager","Leadership, SEO, Java, Python",Google Analytics,Business Consultant,IT,Upskilling,Entrepreneurship,Reading,27,6,Java
106,34,Female,Software Engineer,9.5,Finance,"Content Writer, Data Analyst","Cloud Computing, Data Analysis, Python",PMP,Business Consultant,Finance,Role Switch,Entrepreneurship,Collaborative,13,8,"SEO, Project Management, Python"
107,52,Female,HR Manager,10.0,Marketing,Marketing Specialist,"Leadership, SEO","Google Analytics, PMP, AWS Certified",Data Scientist,Healthcare,Upskilling,Entrepreneurship,Collaborative,26,3,SEO
108,32,Male,Software Engineer,8.8,Finance,Content Writer,"Cloud Computing, Data Analysis",,Creative Director,Marketing,Role Switch,Expertise,Collaborative,21,7,"Java, Project Management, SEO"
109,25,Male,Data Analyst,5.7,Marketing,"HR Manager, Content Writer","Data Analysis, Python, SEO, Cloud Computing, Project Management",None,Business Consultant,Marketing,Promotion,Expertise,Collaborative,9,2,Data Analysis
110,29,Male,Content Writer,9.5,Healthcare,Content Writer,"SEO, Java, Python","Google Analytics, PMP",Creative Director,Education,Role Switch,Entrepreneurship,Reading,25,8,"Project Management, Leadership"
111,55,Male,Data Analyst,19.0,Finance,Marketing Specialist,"Python, Data Analysis",Scrum Master,Business Consultant,Education,Upskilling,Entrepreneurship,Collaborative,20,8,"Leadership, Project Management, SEO"
112,25,Male,Marketing Specialist,10.9,Healthcare,"Software Engineer, Marketing Specialist","Leadership, Data Analysis",Scrum Master,Team Lead,Finance,Promotion,Entrepreneurship,Reading,20,9,Data Analysis
113,51,Male,HR Manager,8.7,Marketing,"Content Writer, Data Analyst, Software Engineer","SEO, Project Management, Leadership","AWS Certified, PMP",Project Manager,Healthcare,Promotion,Entrepreneurship,Reading,29,6,"Project Management, Cloud Computing"
114,45,Male,Software Engineer,12.5,Finance,"HR Manager, Entrepreneur, Content Writer","Leadership, Python, Project Management, SEO","Google Analytics, Scrum Master",Team Lead,IT,Role Switch,Expertise,Reading,26,6,"Python, Project Management, Cloud Computing"
115,43,Male,Content Writer,11.0,Finance,"Entrepreneur, Software Engineer","Java, SEO","AWS Certified, PMP, Google Analytics",Data Scientist,Finance,Upskilling,Entrepreneurship,Reading,18,1,"Data Analysis, Leadership"
116,35,Female,Entrepreneur,8.4,Finance,"Software Engineer, Data Analyst","Python, Java","AWS Certified, PMP",Team Lead,Healthcare,Promotion,Expertise,Reading,6,8,"SEO, Python"
117,23,Male,Software Engineer,12.6,Finance,"Content Writer, Marketing Specialist, Software Engineer","Leadership, Data Analysis, SEO, Python",,Creative Director,IT,Upskilling,Expertise,Collaborative,13,7,Project Management
118,40,Male,Marketing Specialist,8.6,Education,"Content Writer, Data Analyst, Entrepreneur","Python, Java, Cloud Computing, Project Management, SEO",PMP,Project Manager,Marketing,Upskilling,Entrepreneurship,Hands-on,21,7,"Data Analysis, Leadership"
119,50,Female,HR Manager,2.3,IT,"Marketing Specialist, Content Writer, HR Manager","Project Management, Data Analysis",None,Data Scientist,Finance,Role Switch,Entrepreneurship,Hands-on,9,3,Python
120,35,Male,HR Manager,8.9,Healthcare,"HR Manager, Marketing Specialist","Python, Project Management, Java, Cloud Computing, Leadership","Google Analytics, PMP",Data Scientist,Healthcare,Upskilling,Leadership,Hands-on,25,6,Data Analysis
121,42,Female,Software Engineer,9.5,Education,Entrepreneur,"Data Analysis, Project Management",,Business Consultant,Marketing,Promotion,Expertise,Collaborative,5,8,"Data Analysis, SEO, Leadership"
122,46,Female,Software Engineer,8.4,Marketing,"Entrepreneur, Data Analyst","Cloud Computing, Data Analysis, Project Management, Python, Java",None,Team Lead,Healthcare,Upskilling,Leadership,Hands-on,9,6,"Leadership, Cloud Computing"
123,50,Male,Software Engineer,1.8,IT,"Data Analyst, Content Writer","Python, Project Management, SEO, Leadership, Java",,Data Scientist,IT,Role Switch,Leadership,Reading,11,7,Java
124,52,Female,Marketing Specialist,2.2,Education,Marketing Specialist,"Java, Leadership, Project Management",AWS Certified,Project Manager,Education,Upskilling,Expertise,Reading,30,9,SEO
125,31,Male,Content Writer,16.3,Healthcare,Content Writer,"Cloud Computing, Python, Java, Leadership, Data Analysis",PMP,Data Scientist,Marketing,Promotion,Leadership,Collaborative,25,2,"SEO, Java, Leadership"
126,54,Female,Entrepreneur,3.2,Education,Data Analyst,"Python, Data Analysis","Scrum Master, Google Analytics",Project Manager,Finance,Promotion,Expertise,Hands-on,28,4,Project Management
127,40,Male,HR Manager,14.0,Education,"Software Engineer, Marketing Specialist, Content Writer","Java, Python, Cloud Computing, SEO",Scrum Master,Team Lead,Healthcare,Promotion,Entrepreneurship,Reading,8,1,"Project Management, Leadership"
128,45,Male,Data Analyst,11.0,Healthcare,Content Writer,"Python, Leadership, Project Management","AWS Certified, Scrum Master, Google Analytics",Project Manager,Finance,Role Switch,Expertise,Hands-on,9,4,"Data Analysis, Leadership, SEO"
129,28,Female,Marketing Specialist,6.0,Education,"Software Engineer, Entrepreneur, Data Analyst","Project Management, Cloud Computing","PMP, Scrum Master, AWS Certified",Creative Director,Healthcare,Role Switch,Expertise,Collaborative,23,6,Python
